state,district,pathogen,antibiotic,quarter,target_resistance,target_high_risk
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2021-03-31,49.9,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2021-06-30,53.9,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2021-09-30,50.9,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2021-12-31,51.5,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2022-03-31,54.4,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2022-06-30,55.6,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2022-09-30,51.8,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2022-12-31,53.5,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2023-03-31,53.4,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2023-06-30,56.6,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Amikacin,2023-09-30,54.0,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2021-03-31,54.3,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2021-06-30,54.6,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2021-09-30,53.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2021-12-31,55.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2022-03-31,55.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2022-06-30,55.8,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2022-09-30,56.2,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2022-12-31,56.9,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2023-03-31,58.2,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2023-06-30,58.8,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Cefoperazone-Sulbactam,2023-09-30,59.3,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2021-03-31,83.0,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2021-06-30,84.1,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2021-09-30,79.6,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2021-12-31,83.2,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2022-03-31,86.6,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2022-06-30,89.4,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2022-09-30,83.3,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2022-12-31,88.1,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2023-03-31,89.6,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2023-06-30,88.8,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ceftriaxone,2023-09-30,86.3,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2021-03-31,76.6,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2021-06-30,82.3,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2021-09-30,77.0,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2021-12-31,82.6,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2022-03-31,82.4,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2022-06-30,83.9,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2022-09-30,79.8,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2022-12-31,83.3,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2023-03-31,83.6,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2023-06-30,90.3,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Ciprofloxacin,2023-09-30,86.5,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2021-03-31,1.9,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2021-06-30,2.0,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2021-09-30,1.8,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2021-12-31,1.9,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2022-03-31,1.9,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2022-06-30,2.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2022-09-30,2.0,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2022-12-31,2.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2023-03-31,2.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2023-06-30,2.0,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Colistin,2023-09-30,2.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2021-03-31,61.2,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2021-06-30,63.2,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2021-09-30,63.8,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2021-12-31,64.0,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2022-03-31,63.8,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2022-06-30,66.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2022-09-30,62.7,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2022-12-31,66.3,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2023-03-31,67.6,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2023-06-30,69.4,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Gentamicin,2023-09-30,65.8,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2021-03-31,40.4,0
