district,state,pathogen,antibiotic,prediction,severity,language,alert_text
Varanasi,Unknown,Klebsiella pneumoniae,Gentamicin,59.71613119270272,ORANGE,English,"
🟠 ELEVATED RISK — Varanasi, Unknown

Predicted Klebsiella pneumoniae resistance to Gentamicin: 59.7%

Key factors: resistance_trend and prediction_confidence.

RECOMMENDATION: Increase surveillance frequency. 
Review antibiotic stewardship practices this month.
"
Faridabad,Unknown,Acinetobacter baumannii,Ceftriaxone,95.05839636174925,RED,English,"
🔴 HIGH RISK ALERT — Faridabad, Unknown

Predicted Acinetobacter baumannii resistance to Ceftriaxone: 95.1%

This is driven primarily by resistance_trend and prediction_confidence.

RECOMMENDATION: Immediately review Ceftriaxone usage protocols. 
Consider alternative antibiotics. Monitor resistance trends weekly.

Action required within 48 hours.
"
Ujjain,Unknown,Acinetobacter baumannii,Ciprofloxacin,84.0197426223616,RED,English,"
🔴 HIGH RISK ALERT — Ujjain, Unknown

Predicted Acinetobacter baumannii resistance to Ciprofloxacin: 84.0%

This is driven primarily by resistance_trend and prediction_confidence.

RECOMMENDATION: Immediately review Ciprofloxacin usage protocols. 
Consider alternative antibiotics. Monitor resistance trends weekly.

Action required within 48 hours.
"
Udaipur,Unknown,Escherichia coli,Ceftriaxone,72.12844875807095,RED,English,"
🔴 HIGH RISK ALERT — Udaipur, Unknown

Predicted Escherichia coli resistance to Ceftriaxone: 72.1%

This is driven primarily by resistance_trend and prediction_confidence.

RECOMMENDATION: Immediately review Ceftriaxone usage protocols. 
Consider alternative antibiotics. Monitor resistance trends weekly.

Action required within 48 hours.
"
Madurai,Unknown,Acinetobacter baumannii,Piperacillin-Tazobactam,67.13584035604612,ORANGE,English,"
🟠 ELEVATED RISK — Madurai, Unknown

Predicted Acinetobacter baumannii resistance to Piperacillin-Tazobactam: 67.1%

Key factors: resistance_trend and prediction_confidence.

RECOMMENDATION: Increase surveillance frequency. 
Review antibiotic stewardship practices this month.
"
Kota,Unknown,Escherichia coli,Ceftriaxone,59.56275022866153,ORANGE,English,"
🟠 ELEVATED RISK — Kota, Unknown

Predicted Escherichia coli resistance to Ceftriaxone: 59.6%

Key factors: resistance_trend and prediction_confidence.

RECOMMENDATION: Increase surveillance frequency. 
Review antibiotic stewardship practices this month.
"
Dehradun,Unknown,Acinetobacter baumannii,Ceftriaxone,92.58875851128688,RED,English,"
🔴 HIGH RISK ALERT — Dehradun, Unknown

Predicted Acinetobacter baumannii resistance to Ceftriaxone: 92.6%

This is driven primarily by resistance_trend and prediction_confidence.

RECOMMENDATION: Immediately review Ceftriaxone usage protocols. 
Consider alternative antibiotics. Monitor resistance trends weekly.

Action required within 48 hours.
"
Ujjain,Unknown,Klebsiella pneumoniae,Cefoperazone-Sulbactam,53.485139745297104,ORANGE,English,"
🟠 ELEVATED RISK — Ujjain, Unknown

Predicted Klebsiella pneumoniae resistance to Cefoperazone-Sulbactam: 53.5%

Key factors: resistance_trend and prediction_confidence.

RECOMMENDATION: Increase surveillance frequency. 
Review antibiotic stewardship practices this month.
"
Varanasi,Unknown,Acinetobacter baumannii,Gentamicin,73.73069685045633,RED,English,"
🔴 HIGH RISK ALERT — Varanasi, Unknown

Predicted Acinetobacter baumannii resistance to Gentamicin: 73.7%

This is driven primarily by resistance_trend and prediction_confidence.

RECOMMENDATION: Immediately review Gentamicin usage protocols. 
Consider alternative antibiotics. Monitor resistance trends weekly.

Action required within 48 hours.
"
Nashik,Unknown,Klebsiella pneumoniae,Ceftriaxone,73.51448519168741,RED,English,"
🔴 HIGH RISK ALERT — Nashik, Unknown

Predicted Klebsiella pneumoniae resistance to Ceftriaxone: 73.5%

This is driven primarily by resistance_trend and prediction_confidence.

RECOMMENDATION: Immediately review Ceftriaxone usage protocols. 
Consider alternative antibiotics. Monitor resistance trends weekly.

Action required within 48 hours.
"
